"C1",  "C2",  "C3",  "C4",  "C5",  "C6",  "C7",  "C8", "C9", "C10", "P-value", "Proportion",  "Test"
"17", "20", "25", "34", "27", "22", "26", "22", "15", "32", "0.1283", "0.9833", "AperiodicTemplate"
"25", "19", "26", "39", "33", "21", "14", "13", "28", "22", "0.0036", "0.9833", "AperiodicTemplate"
"16", "20", "23", "28", "22", "20", "30", "26", "23", "32", "0.4145", "0.9958", "AperiodicTemplate"
"24", "26", "23", "18", "28", "30", "24", "17", "31", "19", "0.4372", "0.9833", "AperiodicTemplate"
"27", "19", "21", "23", "34", "19", "20", "25", "21", "31", "0.3371", "1.0", "AperiodicTemplate"
"20", "25", "23", "26", "19", "20", "26", "31", "32", "18", "0.4372", "1.0", "AperiodicTemplate"
"23", "21", "30", "20", "26", "31", "19", "20", "29", "21", "0.5425", "0.9958", "AperiodicTemplate"
"20", "13", "27", "31", "34", "24", "22", "24", "18", "27", "0.1109", "0.9916", "AperiodicTemplate"
"31", "26", "23", "27", "29", "17", "23", "18", "18", "28", "0.3997", "0.9875", "AperiodicTemplate"
"23", "15", "25", "19", "24", "22", "31", "29", "27", "25", "0.5174", "0.9875", "AperiodicTemplate"
"21", "24", "20", "30", "28", "19", "22", "27", "27", "22", "0.8043", "0.9833", "AperiodicTemplate"
"20", "14", "25", "18", "25", "28", "26", "30", "26", "28", "0.3852", "0.9875", "AperiodicTemplate"
"22", "22", "22", "35", "20", "19", "22", "29", "29", "20", "0.3371", "0.9916", "AperiodicTemplate"
"20", "22", "17", "26", "28", "22", "24", "23", "29", "29", "0.7399", "0.9958", "AperiodicTemplate"
"27", "24", "27", "18", "19", "25", "33", "22", "28", "17", "0.3852", "0.9916", "AperiodicTemplate"
"31", "29", "24", "23", "28", "20", "24", "18", "22", "21", "0.6890", "0.9916", "AperiodicTemplate"
"20", "28", "24", "21", "28", "25", "12", "28", "29", "25", "0.3371", "0.9916", "AperiodicTemplate"
"21", "25", "13", "23", "23", "25", "23", "33", "28", "26", "0.3641", "0.9958", "AperiodicTemplate"
"32", "22", "36", "18", "26", "19", "24", "16", "22", "25", "0.1082", "0.9666", "AperiodicTemplate"
"18", "28", "18", "30", "26", "32", "20", "24", "23", "21", "0.4296", "0.9916", "AperiodicTemplate"
"21", "24", "25", "15", "27", "30", "23", "24", "29", "22", "0.6457", "0.9916", "AperiodicTemplate"
"26", "26", "29", "24", "17", "18", "28", "23", "28", "21", "0.6717", "0.9791", "AperiodicTemplate"
"29", "22", "20", "15", "24", "31", "27", "21", "26", "25", "0.5091", "0.9833", "AperiodicTemplate"
"23", "24", "29", "23", "33", "15", "30", "27", "14", "22", "0.1193", "0.9875", "AperiodicTemplate"
"23", "24", "23", "33", "23", "19", "23", "27", "24", "21", "0.8043", "0.9875", "AperiodicTemplate"
"22", "22", "29", "23", "32", "19", "21", "24", "22", "26", "0.7564", "0.9916", "AperiodicTemplate"
"24", "19", "24", "35", "20", "24", "19", "29", "21", "25", "0.4145", "0.9875", "AperiodicTemplate"
"19", "21", "20", "22", "23", "22", "16", "41", "32", "24", "0.0189", "0.9958", "AperiodicTemplate"
"35", "21", "20", "24", "23", "23", "30", "19", "17", "28", "0.2482", "0.9833", "AperiodicTemplate"
"20", "23", "18", "34", "24", "20", "25", "28", "23", "25", "0.5510", "0.9916", "AperiodicTemplate"
"27", "30", "23", "24", "24", "30", "21", "20", "14", "27", "0.4372", "0.9875", "AperiodicTemplate"
"37", "24", "32", "20", "31", "23", "22", "23", "19", "9", "0.0060", "0.9791", "AperiodicTemplate"
"22", "26", "27", "16", "21", "18", "29", "31", "28", "22", "0.4220", "0.9916", "AperiodicTemplate"
"29", "31", "34", "11", "17", "26", "20", "20", "21", "31", "0.0164", "0.9791", "AperiodicTemplate"
"22", "25", "33", "27", "17", "26", "18", "23", "28", "21", "0.4606", "0.9875", "AperiodicTemplate"
"34", "23", "15", "27", "21", "26", "23", "21", "24", "26", "0.4296", "0.9833", "AperiodicTemplate"
"22", "24", "24", "29", "19", "29", "25", "20", "31", "17", "0.5257", "1.0", "AperiodicTemplate"
"28", "15", "20", "23", "31", "22", "14", "35", "25", "27", "0.0556", "0.9958", "AperiodicTemplate"
"32", "23", "19", "25", "25", "25", "24", "23", "23", "21", "0.8881", "0.9958", "AperiodicTemplate"
"35", "25", "27", "26", "29", "20", "28", "16", "17", "17", "0.0980", "0.975", "AperiodicTemplate"
"24", "27", "20", "27", "31", "26", "26", "21", "19", "19", "0.7146", "0.9916", "AperiodicTemplate"
"30", "19", "38", "16", "22", "18", "25", "18", "23", "31", "0.0281", "0.9833", "AperiodicTemplate"
"24", "23", "32", "18", "24", "18", "23", "28", "27", "23", "0.6544", "0.9916", "AperiodicTemplate"
"20", "24", "25", "22", "22", "35", "24", "24", "21", "23", "0.6890", "0.9916", "AperiodicTemplate"
"18", "20", "34", "26", "20", "31", "20", "25", "27", "19", "0.2535", "0.9916", "AperiodicTemplate"
"24", "24", "27", "22", "20", "25", "27", "23", "27", "21", "0.9830", "0.9958", "AperiodicTemplate"
"27", "20", "28", "20", "19", "23", "36", "23", "23", "21", "0.3572", "0.9875", "AperiodicTemplate"
"23", "21", "19", "29", "27", "31", "20", "25", "23", "22", "0.7564", "0.9958", "AperiodicTemplate"
"21", "27", "24", "19", "22", "28", "22", "21", "28", "28", "0.8755", "0.9958", "AperiodicTemplate"
"20", "28", "19", "22", "24", "23", "22", "28", "30", "24", "0.8415", "0.9875", "AperiodicTemplate"
"29", "22", "22", "34", "19", "25", "20", "26", "24", "19", "0.4846", "0.9916", "AperiodicTemplate"
"20", "22", "35", "26", "18", "13", "33", "26", "28", "19", "0.0371", "0.9875", "AperiodicTemplate"
"21", "24", "24", "26", "24", "21", "27", "22", "26", "25", "0.9957", "0.9916", "AperiodicTemplate"
"26", "24", "25", "19", "19", "20", "20", "36", "20", "31", "0.1951", "0.9916", "AperiodicTemplate"
"16", "26", "13", "27", "23", "25", "27", "33", "25", "25", "0.2040", "1.0", "AperiodicTemplate"
"30", "14", "23", "26", "23", "24", "24", "35", "21", "20", "0.2133", "0.9875", "AperiodicTemplate"
"23", "20", "23", "21", "22", "24", "31", "28", "22", "26", "0.8881", "0.9958", "AperiodicTemplate"
"16", "31", "21", "21", "18", "32", "16", "24", "27", "34", "0.0513", "0.9791", "AperiodicTemplate"
"20", "27", "25", "19", "20", "23", "28", "22", "26", "30", "0.8043", "0.9833", "AperiodicTemplate"
"13", "19", "22", "18", "26", "26", "30", "29", "27", "30", "0.1865", "0.9958", "AperiodicTemplate"
"29", "28", "18", "20", "25", "23", "29", "26", "24", "18", "0.6717", "0.9791", "AperiodicTemplate"
"30", "32", "21", "21", "19", "28", "17", "26", "29", "17", "0.2180", "0.9791", "AperiodicTemplate"
"18", "31", "21", "22", "28", "21", "29", "25", "22", "23", "0.6976", "0.9958", "AperiodicTemplate"
"23", "19", "29", "25", "19", "33", "27", "27", "23", "15", "0.2932", "0.9875", "AperiodicTemplate"
"19", "18", "27", "29", "30", "29", "24", "24", "27", "13", "0.2180", "0.9916", "AperiodicTemplate"
"29", "21", "26", "25", "18", "17", "33", "23", "31", "17", "0.1782", "0.9916", "AperiodicTemplate"
"31", "27", "24", "34", "22", "19", "21", "21", "21", "20", "0.3852", "0.9833", "AperiodicTemplate"
"33", "19", "28", "22", "28", "26", "22", "21", "26", "15", "0.3371", "0.9791", "AperiodicTemplate"
"18", "28", "28", "23", "30", "19", "26", "24", "24", "20", "0.7146", "0.9916", "AperiodicTemplate"
"24", "24", "25", "31", "19", "25", "26", "16", "24", "26", "0.7231", "0.9791", "AperiodicTemplate"
"15", "34", "27", "28", "18", "27", "22", "18", "29", "22", "0.1480", "0.9875", "AperiodicTemplate"
"20", "29", "17", "19", "28", "31", "27", "19", "32", "18", "0.1588", "0.9916", "AperiodicTemplate"
"28", "31", "18", "15", "28", "24", "29", "26", "23", "18", "0.2757", "0.9916", "AperiodicTemplate"
"27", "37", "26", "22", "22", "24", "19", "17", "25", "21", "0.2482", "0.9958", "AperiodicTemplate"
"19", "22", "29", "26", "19", "24", "29", "25", "27", "20", "0.7807", "0.9916", "AperiodicTemplate"
"30", "20", "25", "29", "29", "18", "28", "26", "14", "21", "0.2644", "0.975", "AperiodicTemplate"
"19", "19", "17", "22", "23", "31", "29", "21", "27", "32", "0.2873", "0.9958", "AperiodicTemplate"
"25", "16", "22", "27", "21", "25", "29", "30", "21", "24", "0.6804", "0.9791", "AperiodicTemplate"
"20", "29", "16", "32", "25", "24", "17", "28", "22", "27", "0.3241", "0.9875", "AperiodicTemplate"
"27", "24", "27", "18", "19", "25", "33", "22", "28", "17", "0.3852", "0.9916", "AperiodicTemplate"
"22", "23", "23", "28", "29", "32", "24", "22", "21", "16", "0.5510", "0.9916", "AperiodicTemplate"
"25", "20", "19", "17", "36", "26", "28", "24", "19", "26", "0.2228", "0.9875", "AperiodicTemplate"
"22", "22", "29", "29", "20", "24", "29", "22", "26", "17", "0.6890", "1.0", "AperiodicTemplate"
"19", "35", "28", "16", "33", "24", "25", "23", "9", "28", "0.0063", "0.9875", "AperiodicTemplate"
"21", "21", "20", "28", "24", "27", "25", "25", "26", "23", "0.9733", "0.9916", "AperiodicTemplate"
"30", "24", "26", "21", "15", "26", "20", "20", "31", "27", "0.4070", "0.9916", "AperiodicTemplate"
"24", "22", "23", "28", "24", "19", "21", "27", "30", "22", "0.8881", "0.9875", "AperiodicTemplate"
"32", "19", "23", "20", "29", "25", "22", "19", "25", "26", "0.6457", "0.9666", "AperiodicTemplate"
"14", "29", "24", "28", "24", "20", "23", "18", "30", "30", "0.2700", "0.9916", "AperiodicTemplate"
"26", "22", "22", "29", "18", "23", "39", "21", "11", "29", "0.0130", "0.9875", "AperiodicTemplate"
"20", "23", "27", "23", "21", "30", "24", "23", "28", "21", "0.9058", "0.9958", "AperiodicTemplate"
"21", "22", "29", "22", "27", "30", "23", "26", "24", "16", "0.6890", "0.9875", "AperiodicTemplate"
"22", "26", "27", "24", "20", "25", "25", "27", "20", "24", "0.9808", "0.9958", "AperiodicTemplate"
"23", "30", "21", "20", "28", "22", "20", "33", "24", "19", "0.4846", "0.9916", "AperiodicTemplate"
"24", "24", "30", "28", "24", "16", "29", "25", "16", "24", "0.4765", "0.9916", "AperiodicTemplate"
"27", "25", "18", "25", "29", "24", "25", "22", "21", "24", "0.9366", "0.9916", "AperiodicTemplate"
"17", "26", "17", "17", "33", "32", "25", "25", "24", "24", "0.1908", "1.0", "AperiodicTemplate"
"26", "22", "26", "18", "20", "34", "26", "20", "24", "24", "0.5680", "0.9875", "AperiodicTemplate"
"24", "18", "23", "23", "27", "27", "21", "16", "26", "35", "0.3053", "0.9875", "AperiodicTemplate"
"20", "31", "21", "28", "28", "23", "28", "21", "21", "19", "0.6457", "0.9875", "AperiodicTemplate"
"22", "28", "22", "21", "18", "23", "26", "22", "32", "26", "0.7315", "0.9833", "AperiodicTemplate"
"25", "26", "14", "27", "27", "28", "26", "29", "18", "20", "0.4220", "0.9875", "AperiodicTemplate"
"17", "29", "23", "24", "19", "28", "21", "21", "30", "28", "0.5595", "0.9958", "AperiodicTemplate"
"23", "26", "26", "26", "24", "19", "21", "27", "23", "25", "0.9830", "0.9916", "AperiodicTemplate"
"27", "31", "21", "25", "27", "25", "20", "22", "23", "19", "0.8195", "0.9958", "AperiodicTemplate"
"24", "27", "30", "23", "28", "29", "18", "16", "23", "22", "0.5341", "0.9833", "AperiodicTemplate"
"23", "24", "30", "21", "22", "19", "24", "23", "32", "22", "0.7399", "0.9833", "AperiodicTemplate"
"22", "27", "27", "20", "23", "17", "24", "22", "28", "30", "0.7399", "0.9916", "AperiodicTemplate"
"29", "26", "18", "26", "33", "26", "15", "15", "23", "29", "0.1137", "0.9875", "ApproximateEntropy"
"17", "32", "25", "24", "24", "29", "24", "19", "27", "19", "0.5091", "0.9875", "BlockFrequency"
"28", "27", "17", "22", "24", "27", "25", "20", "25", "25", "0.8819", "0.9875", "CumulativeSums"
"27", "20", "23", "27", "19", "25", "36", "28", "16", "19", "0.1664", "0.9833", "CumulativeSums"
"34", "27", "22", "30", "25", "16", "26", "22", "17", "21", "0.2327", "0.9833", "FFT"
"26", "20", "24", "21", "28", "34", "14", "25", "29", "19", "0.1951", "0.9875", "Frequency"
"24", "27", "26", "26", "18", "25", "12", "23", "31", "28", "0.2757", "0.9916", "LinearComplexity"
"27", "24", "29", "27", "23", "17", "30", "15", "27", "21", "0.3924", "0.9916", "LongestRun"
"27", "27", "22", "24", "21", "25", "24", "22", "26", "22", "0.9938", "0.9958", "PeriodicTemplate"
"16", "15", "11", "15", "16", "13", "13", "12", "15", "15", "0.9925", "0.9787", "RandomExcursion"
"14", "15", "12", "17", "9", "16", "14", "16", "11", "17", "0.8642", "0.9787", "RandomExcursion"
"9", "16", "17", "14", "20", "15", "9", "13", "12", "16", "0.5558", "1.0", "RandomExcursion"
"12", "21", "13", "15", "10", "17", "16", "11", "11", "15", "0.5999", "1.0", "RandomExcursion"
"20", "15", "10", "15", "13", "9", "16", "14", "18", "11", "0.5558", "1.0", "RandomExcursion"
"20", "11", "18", "13", "11", "10", "21", "18", "5", "14", "0.0546", "1.0", "RandomExcursion"
"15", "16", "23", "11", "13", "13", "14", "14", "12", "10", "0.4985", "0.9929", "RandomExcursion"
"10", "18", "18", "18", "18", "15", "14", "9", "10", "11", "0.4049", "0.9929", "RandomExcursion"
"11", "15", "21", "14", "15", "20", "14", "15", "10", "6", "0.1794", "0.9858", "RandomExcursion"
"13", "16", "18", "11", "19", "13", "14", "18", "9", "10", "0.5269", "0.9929", "RandomExcursion"
"16", "8", "18", "12", "15", "13", "10", "15", "19", "15", "0.5852", "0.9716", "RandomExcursion"
"16", "14", "18", "9", "14", "9", "15", "18", "13", "15", "0.7037", "0.9787", "RandomExcursion"
"13", "15", "23", "12", "13", "11", "11", "17", "14", "12", "0.4846", "0.9858", "RandomExcursion"
"9", "20", "13", "23", "10", "14", "12", "15", "15", "10", "0.1658", "0.9858", "RandomExcursion"
"13", "17", "10", "13", "17", "12", "12", "15", "15", "17", "0.9160", "0.9787", "RandomExcursion"
"19", "10", "12", "15", "8", "15", "18", "17", "16", "11", "0.4708", "0.9787", "RandomExcursion"
"18", "8", "20", "14", "11", "13", "18", "11", "14", "14", "0.4572", "0.9929", "RandomExcursion"
"12", "15", "18", "15", "13", "16", "16", "11", "9", "16", "0.8404", "1.0", "RandomExcursion"
"12", "13", "18", "12", "22", "15", "12", "11", "14", "12", "0.5704", "0.9716", "RandomExcursion"
"14", "17", "16", "10", "12", "18", "15", "12", "14", "13", "0.9160", "0.9787", "RandomExcursion"
"13", "14", "19", "11", "12", "19", "17", "14", "13", "9", "0.6296", "0.9929", "RandomExcursion"
"10", "12", "19", "15", "13", "16", "18", "15", "11", "12", "0.7611", "0.9929", "RandomExcursion"
"6", "14", "12", "19", "12", "12", "16", "15", "18", "17", "0.4049", "1.0", "RandomExcursion"
"11", "17", "11", "16", "11", "11", "19", "14", "12", "19", "0.5999", "0.9929", "RandomExcursion"
"12", "11", "17", "21", "12", "15", "14", "13", "12", "14", "0.7611", "1.0", "RandomExcursion"
"16", "8", "12", "15", "16", "26", "13", "17", "10", "8", "0.0327", "0.9929", "RandomExcursion"
"26", "16", "28", "25", "21", "23", "25", "25", "27", "24", "0.8819", "0.9833", "Rank"
"29", "24", "24", "18", "19", "27", "30", "14", "23", "32", "0.1951", "0.9916", "Runs"
"27", "32", "22", "23", "27", "20", "21", "27", "23", "18", "0.6804", "0.9916", "Serial"
"24", "17", "34", "25", "21", "20", "22", "26", "23", "28", "0.5009", "0.9958", "Serial"
"25", "36", "25", "24", "17", "31", "23", "23", "16", "20", "0.1379", "0.9916", "Universal"
